ADT	KADH	Ada Municipal Airport	Ada	United States	34.8043	-96.6713	America/Chicago
ADU	OITL	Ardabil Airport	Ardabil	Iran	38.3257	48.4244	Asia/Tehran
ADW	KADW	Andrews Air Force Base	Camp Springs	United States	38.8108	-76.8670	America/New_York
ADX	EGQL	RAF Leuchars	St. Andrews	United Kingdom	56.3729	-2.8684	Europe/London
ADY	FAAL	Alldays Airport	Alldays	South Africa	-22.6790	29.0555	Africa/Johannesburg
ADZ	SKSP	Gustavo Rojas Pinilla International Airport	San Andres	Colombia	12.5836	-81.7112	America/Bogota
AEA	NGTB	Abemama Atoll Airport	Abemama Atoll	Kiribati	0.4908	173.8290	Pacific/Tarawa
AEB	ZBGS	Tian Yang Air Base	Baise	China	23.7206	106.9600	Asia/Shanghai
AEG	WIME	Aek Godang Airport	Padang Sidempuan	Indonesia	1.4001	99.4305	Asia/Jakarta
AEH	FTTC	Abeche Airport		Chad	13.8470	20.8443	Africa/Ndjamena
AEL	KAEL	Albert Lea Municipal Airport	Albert Lea	United States	43.6815	-93.3672	America/Chicago
AEM	UHTG	Amgu Airport	Amgu	Russia	45.8413	137.6736	Asia/Vladivostok
AEO	GQNA	Aioun el Atrouss Airport	Aioun El Atrouss	Mauritania	16.7113	-9.6379	Africa/Abidjan
AEP	SABE	Jorge Newbery Airpark	Buenos Aires	Argentina	-34.5592	-58.4156	America/Argentina/Buenos_Aires
AER	URSS	Sochi International Airport	Sochi	Russia	43.4499	39.9566	Europe/Moscow
AES	ENAL	Alesund Airport	Alesund	Norway	62.5625	6.1197	Europe/Berlin
AET	PFAL	Allakaket Airport	Allakaket	United States	66.5518	-152.6220	America/Anchorage
AEU	OIBA	Abumusa Island Airport		Iran	25.8757	55.0330	Asia/Tehran
AEX	KAEX	Alexandria International Airport	Alexandria	United States	31.3274	-92.5498	America/Chicago
AEY	BIAR	Akureyri Airport	Akureyri	Iceland	65.6600	-18.0727	Africa/Abidjan
AFA	SAMR	Suboficial Ay Santiago Germano Airport	San Rafael	Argentina	-34.5883	-68.4039	America/Argentina/Mendoza
AFD	FAPA	Port Alfred Airport	Port Alfred	South Africa	-33.5542	26.8777	Africa/Johannesburg
AFE	PAFE	Kake Airport	Kake	United States	56.9614	-133.9100	America/Sitka
AFF	KAFF	USAF Academy Airfield	Colorado Springs	United States	38.9697	-104.8130	America/Denver
AFI	SKAM	Amalfi Airport	Amalfi	Colombia	6.9167	-75.0667	America/Bogota
AFL	SBAT	Alta Floresta Airport	Alta Floresta	Brazil	-9.8664	-56.1050	America/Cuiaba
AFN	KAFN	Jaffrey Airport Silver Ranch Airport	Jaffrey	United States	42.8051	-72.0030	America/New_York
AFO	KAFO	Afton Municipal Airport	Afton	United States	42.7112	-110.9420	America/Denver
AFR	AYAF	Afore Airstrip	Afore	Papua New Guinea	-9.1422	148.3908	Pacific/Port_Moresby
AFS	UZSN	Sugraly Airport	Zarafshan	Uzbekistan	41.6139	64.2332	Asia/Samarkand
AFT	AGAF	Afutara Aerodrome	Bila	Solomon Islands	-9.1914	160.9486	Pacific/Guadalcanal
AFW	KAFW	Fort Worth Alliance Airport	Fort Worth	United States	32.9876	-97.3188	America/Chicago
AFY	LTAH	Afyon Airport	Afyonkarahisar	Turkey	38.7264	30.6011	Europe/Istanbul
AFZ	OIMS	Sabzevar National Airport	Sabzevar	Iran	36.1681	57.5952	Asia/Tehran
AGA	GMAD	Al Massira Airport	Agadir	Morocco	30.3250	-9.4131	Africa/Casablanca
AGB	EDMA	Augsburg Airport	Augsburg	Germany	48.4253	10.9317	Europe/Berlin
AGC	KAGC	Allegheny County Airport	Pittsburgh	United States	40.3544	-79.9302	America/New_York
AGE	EDWG	Wangerooge Airport	Wangerooge	Germany	53.7828	7.9139	Europe/Berlin
AGF	LFBA	Agen-La Garenne Airport	Agen/La Garenne	France	44.1747	0.5906	Europe/Paris
AGH	ESTA	Angelholm-Helsingborg Airport	Angelholm	Sweden	56.2961	12.8471	Europe/Berlin
AGI	SMWA	Wageningen Airport Airport	Wageningen Airport	Suriname	5.7667	-56.6333	America/Paramaribo
AGJ	RORA	Aguni Airport	Aguni	Japan	26.5925	127.2410	Asia/Tokyo
AGL	AYWG	Wanigela Airport		Papua New Guinea	-9.3375	149.1556	Pacific/Port_Moresby
AGN	PAGN	Angoon Seaplane Base	Angoon	United States	57.5036	-134.5850	America/Juneau
AGO	KAGO	Magnolia Municipal Airport	Magnolia	United States	33.2280	-93.2170	America/Chicago
AGP	LEMG	Malaga Airport	Malaga	Spain	36.6749	-4.4991	Europe/Madrid
AGQ	LGAG	Agrinion Airport	Agrinion	Greece	38.6020	21.3512	Europe/Athens
AGR	VIAG	Agra Airport		India	27.1558	77.9609	Asia/Kolkata
AGS	KAGS	Augusta Regional At Bush Field	Augusta	United States	33.3699	-81.9645	America/New_York
AGT	SGES	Guarani International Airport	Ciudad del Este	Paraguay	-25.4600	-54.8400	America/Asuncion
AGU	MMAS	Jesus Teran International Airport	Aguascalientes	Mexico	21.7056	-102.3180	America/Mexico_City
AGV	SVAC	Oswaldo Guevara Mujica Airport	Acarigua	Venezuela	9.5534	-69.2379	America/Caracas
AGX	VOAT	Agatti Airport		India	10.8237	72.1760	Asia/Kolkata
AGZ	FAAG	Aggeneys Airport	Aggeneys	South Africa	-29.2818	18.8139	Africa/Johannesburg
AHB	OEAB	Abha Regional Airport	Abha	Saudi Arabia	18.2404	42.6566	Asia/Riyadh
AHC	KAHC	Amedee Army Air Field	Herlong	United States	40.2662	-120.1530	America/Los_Angeles
AHE	NTHE	Ahe Airport	Ahe Atoll	French Polynesia	-14.4281	-146.2570	Pacific/Tahiti
AHF	K37V	Arapahoe Municipal Airport	Arapahoe	United States	40.3416	-99.9078	America/Chicago
AHH	KAHH	Amery Municipal Airport	Amery	United States	45.2811	-92.3754	America/Chicago
AHI	WAPA	Amahai Airport	Amahai-Seram Island	Indonesia	-3.3480	128.9260	Asia/Jayapura
AHJ	ZUHY	Ngawa Hongyuan Airport	Hongyuan	China	32.5292	102.3569	Asia/Shanghai
AHL	SYAH	Aishalton Airport	Aishalton	Guyana	2.4865	-59.3134	America/Guyana
AHM	KS03	Ashland Municipal Sumner Parker Field	Ashland	United States	42.1903	-122.6610	America/Los_Angeles
AHN	KAHN	Athens Ben Epps Airport	Athens	United States	33.9486	-83.3263	America/New_York
AHO	LIEA	Alghero / Fertilia Airport	Alghero	Italy	40.6321	8.2908	Europe/Rome
AHS	MHAH	Ahuas Airport	Ahuas	Honduras	15.4722	-84.3522	America/Tegucigalpa
AHU	GMTA	Cherif Al Idrissi Airport	Al Hoceima	Morocco	35.1771	-3.8395	Africa/Casablanca
AHZ	LFHU	L'alpe D'huez Airport	Bourg	France	45.0883	6.0847	Europe/Paris
AIA	KAIA	Alliance Municipal Airport	Alliance	United States	42.0532	-102.8040	America/Denver
AID	KAID	Anderson Municipal Darlington Field	Anderson	United States	40.1086	-85.6130	America/Indiana/Indianapolis
AIE	AYAO	Aiome Airport	Aiome	Papua New Guinea	-5.1457	144.7307	Pacific/Port_Moresby
AIF	SBAS	Marcelo Pires Halzhausen Airport	Assis	Brazil	-22.6400	-50.4531	America/Sao_Paulo
AIG	FEFY	Yalinga Airport	Yalinga	Central African Republic	6.5200	23.2600	Africa/Lagos
AII	HDAS	Ali-Sabieh Airport	Ali-Sabieh	Djibouti	11.1469	42.7200	Africa/Nairobi
AIK	KAIK	Aiken Municipal Airport	Aiken	United States	33.6494	-81.6850	America/New_York
AIN	PAWI	Wainwright Airport	Wainwright	United States	70.6380	-159.9950	America/Anchorage
AIO	KAIO	Atlantic Municipal Airport	Atlantic	United States	41.4073	-95.0469	America/Chicago
AIP	VIAX	Adampur Air Force Station		India	31.4338	75.7588	Asia/Kolkata
AIR	SSOU	Aripuanã Airport	Aripuanã	Brazil	-10.1856	-59.4578	America/Cuiaba
AIS	NGTR	Arorae Island Airport	Arorae Island	Kiribati	-2.6161	176.8030	Pacific/Tarawa
AIT	NCAI	Aitutaki Airport	Aitutaki	Cook Islands	-18.8309	-159.7640	Pacific/Rarotonga
AIU	NCAT	Enua Airport	Atiu Island	Cook Islands	-19.9678	-158.1190	Pacific/Rarotonga
AIV	KAIV	George Downer Airport	Aliceville	United States	33.1065	-88.1978	America/Chicago
AIZ	KAIZ	Lee C Fine Memorial Airport	Kaiser Lake Ozark	United States	38.0960	-92.5495	America/Chicago
AJA	LFKJ	Ajaccio-Napoleon Bonaparte Airport	Ajaccio/Napoleon Bonaparte	France	41.9236	8.8029	Europe/Paris
AJF	OESK	Al-Jawf Domestic Airport	Al-Jawf	Saudi Arabia	29.7851	40.1000	Asia/Riyadh
AJI	LTCO	Agri Airport	Agri	Turkey	39.6545	43.0260	Europe/Istanbul
AJJ	GQNJ	Akjoujt Airport	Akjoujt	Mauritania	19.7330	-14.3832	Africa/Abidjan
AJK	OIHR	Arak Airport	Araak	Iran	34.1381	49.8473	Asia/Tehran
AJL	VELP	Lengpui Airport	Aizawl	India	23.8406	92.6197	Asia/Kolkata
AJN	FMCV	Ouani Airport	Ouani	Comoros	-12.1317	44.4303	Africa/Nairobi
AJR	ESNX	Arvidsjaur Airport	Arvidsjaur	Sweden	65.5903	19.2819	Europe/Berlin
AJU	SBAR	Santa Maria Airport	Aracaju	Brazil	-10.9840	-37.0703	America/Maceio
AJY	DRZA	Mano Dayak International Airport	Agadez	Niger	16.9660	8.0001	Africa/Lagos
AKA	ZLAK	Ankang Airport	Ankang	China	32.7081	108.9310	Asia/Shanghai
AKB	PAAK	Atka Airport	Atka	United States	52.2203	-174.2060	America/Adak
AKC	KAKR	Akron Fulton International Airport	Akron	United States	41.0375	-81.4669	America/New_York
AKD	VAAK	Akola Airport		India	20.6990	77.0586	Asia/Kolkata
AKE	FOGA	Akiéni Airport	Akiéni	Gabon	-1.1333	13.9000	Africa/Lagos
AKF	HLKF	Kufra Airport	Kufra	Libya	24.1787	23.3140	Africa/Tripoli
AKH	OEPS	Prince Sultan Air Base		Saudi Arabia	24.0627	47.5805	Asia/Riyadh
AKI	PFAK	Akiak Airport	Akiak	United States	60.9029	-161.2310	America/Anchorage
AKJ	RJEC	Asahikawa Airport	Asahikawa	Japan	43.6708	142.4470	Asia/Tokyo
AKK	PAKH	Akhiok Airport	Akhiok	United States	56.9387	-154.1830	America/Anchorage
AKL	NZAA	Auckland International Airport	Auckland	New Zealand	-37.0081	174.7920	Pacific/Auckland
AKN	PAKN	King Salmon Airport	King Salmon	United States	58.6768	-156.6490	America/Anchorage
AKO	KAKO	Colorado Plains Regional Airport	Akron	United States	40.1756	-103.2220	America/Denver
AKP	PAKP	Anaktuvuk Pass Airport	Anaktuvuk Pass	United States	68.1336	-151.7430	America/Anchorage
AKQ	WIAG	Menggala Airport	Menggala-Sumatra Island	Indonesia	-4.4894	105.2170	Asia/Jakarta
AKR	DNAK	Akure Airport	Akure	Nigeria	7.2467	5.3010	Africa/Lagos
AKS	AGGA	Auki Airport	Auki	Solomon Islands	-8.7026	160.6820	Pacific/Guadalcanal
AKT	LCRA	RAF Akrotiri		Cyprus	34.5904	32.9879	Asia/Nicosia
AKU	ZWAK	Aksu Airport	Aksu	China	41.2625	80.2917	Asia/Shanghai
AKV	CYKO	Akulivik Airport	Akulivik	Canada	60.8186	-78.1486	America/Iqaluit
AKW	OIAG	Aghajari Airport	Omidiyeh	Iran	30.7444	49.6772	Asia/Tehran
AKX	UATT	Aktobe Airport	Aktyubinsk	Kazakhstan	50.2458	57.2067	Asia/Aqtobe
AKY	VYSW	Sittwe Airport	Sittwe	Myanmar	20.1327	92.8726	Asia/Yangon
ALA	UAAA	Almaty Airport	Almaty	Kazakhstan	43.3521	77.0405	Asia/Almaty
ALB	KALB	Albany International Airport	Albany	United States	42.7483	-73.8017	America/New_York
ALC	LEAL	Alicante International Airport	Alicante	Spain	38.2822	-0.5582	Europe/Madrid
ALD	SPAR	Alerta Airport	Fortaleza	Peru	-11.6830	-69.3330	America/Lima
ALF	ENAT	Alta Airport	Alta	Norway	69.9761	23.3717	Europe/Berlin
ALG	DAAG	Houari Boumediene Airport	Algiers	Algeria	36.6910	3.2154	Africa/Algiers
ALH	YABA	Albany Airport	Albany	Australia	-34.9433	117.8090	Australia/Perth
ALI	KALI	Alice International Airport	Alice	United States	27.7409	-98.0269	America/Chicago
ALJ	FAAB	Alexander Bay Airport	Alexander Bay	South Africa	-28.5750	16.5333	Africa/Johannesburg
ALL	LIMG	Villanova D'Albenga International Airport	Albenga	Italy	44.0506	8.1274	Europe/Rome
ALM	KALM	Alamogordo White Sands Regional Airport	Alamogordo	United States	32.8399	-105.9910	America/Denver
ALN	KALN	St Louis Regional Airport	Alton/St Louis	United States	38.8903	-90.0460	America/Chicago
ALO	KALO	Waterloo Regional Airport	Waterloo	United States	42.5571	-92.4003	America/Chicago
